Month,Day,Storage_Type,Total_Capacity_Units,Used_Units,Utilization_Pct
115,5,Hazmat,2015360,37223.0238095238,1.8469664878495058
115,6,Pallet,3583152,403320.6666666667,11.256030072591582
115,6,Racking,3107328,106569.35714285713,3.429614033113245
115,6,Bins,10631520,185190.88095238095,1.7419040828816665
115,6,Hazmat,2015360,37223.0238095238,1.8469664878495058
115,7,Pallet,3583152,403320.6666666667,11.256030072591582
115,7,Racking,3107328,106569.35714285713,3.429614033113245
115,7,Bins,10631520,185190.88095238095,1.7419040828816665
115,7,Hazmat,2015360,37223.0238095238,1.8469664878495058
115,8,Pallet,3583152,403320.6666666667,11.256030072591582
115,8,Racking,3107328,106569.35714285713,3.429614033113245
115,8,Bins,10631520,185190.88095238095,1.7419040828816665
115,8,Hazmat,2015360,37223.0238095238,1.8469664878495058
115,9,Pallet,3583152,403320.6666666667,11.256030072591582
115,9,Racking,3107328,106569.35714285713,3.429614033113245
115,9,Bins,10631520,185190.88095238095,1.7419040828816665
115,9,Hazmat,2015360,37223.0238095238,1.8469664878495058
115,10,Pallet,3583152,403320.6666666667,11.256030072591582
115,10,Racking,3107328,106569.35714285713,3.429614033113245
115,10,Bins,10631520,185190.88095238095,1.7419040828816665
115,10,Hazmat,2015360,37223.0238095238,1.8469664878495058
115,11,Pallet,3583152,403320.6666666667,11.256030072591582
115,11,Racking,3107328,106569.35714285713,3.429614033113245
115,11,Bins,10631520,185190.88095238095,1.7419040828816665
115,11,Hazmat,2015360,37223.0238095238,1.8469664878495058
115,12,Pallet,3583152,403320.6666666667,11.256030072591582
115,12,Racking,3107328,106569.35714285713,3.429614033113245
115,12,Bins,10631520,185190.88095238095,1.7419040828816665
115,12,Hazmat,2015360,37223.0238095238,1.8469664878495058
115,13,Pallet,3583152,403320.6666666667,11.256030072591582
115,13,Racking,3107328,106569.35714285713,3.429614033113245
115,13,Bins,10631520,185190.88095238095,1.7419040828816665
115,13,Hazmat,2015360,37223.0238095238,1.8469664878495058
115,14,Pallet,3583152,403320.6666666667,11.256030072591582
115,14,Racking,3107328,106569.35714285713,3.429614033113245
115,14,Bins,10631520,185190.88095238095,1.7419040828816665
115,14,Hazmat,2015360,37223.0238095238,1.8469664878495058
115,15,Pallet,3583152,403320.6666666667,11.256030072591582
115,15,Racking,3107328,106569.35714285713,3.429614033113245
115,15,Bins,10631520,185190.88095238095,1.7419040828816665
115,15,Hazmat,2015360,37223.0238095238,1.8469664878495058
115,16,Pallet,3583152,403320.6666666667,11.256030072591582
115,16,Racking,3107328,106569.35714285713,3.429614033113245
115,16,Bins,10631520,185190.88095238095,1.7419040828816665
115,16,Hazmat,2015360,37223.0238095238,1.8469664878495058
115,17,Pallet,3583152,403320.6666666667,11.256030072591582
115,17,Racking,3107328,106569.35714285713,3.429614033113245
115,17,Bins,10631520,185190.88095238095,1.7419040828816665
115,17,Hazmat,2015360,37223.0238095238,1.8469664878495058
115,18,Pallet,3583152,403320.6666666667,11.256030072591582
115,18,Racking,3107328,106569.35714285713,3.429614033113245
115,18,Bins,10631520,185190.88095238095,1.7419040828816665
115,18,Hazmat,2015360,37223.0238095238,1.8469664878495058
115,19,Pallet,3583152,403320.6666666667,11.256030072591582
115,19,Racking,3107328,106569.35714285713,3.429614033113245
115,19,Bins,10631520,185190.88095238095,1.7419040828816665
115,19,Hazmat,2015360,37223.0238095238,1.8469664878495058
115,20,Pallet,3583152,403320.6666666667,11.256030072591582
115,20,Racking,3107328,106569.35714285713,3.429614033113245
115,20,Bins,10631520,185190.88095238095,1.7419040828816665
115,20,Hazmat,2015360,37223.0238095238,1.8469664878495058
115,21,Pallet,3583152,403320.6666666667,11.256030072591582
115,21,Racking,3107328,106569.35714285713,3.429614033113245
115,21,Bins,10631520,185190.88095238095,1.7419040828816665
115,21,Hazmat,2015360,37223.0238095238,1.8469664878495058
116,1,Pallet,3583152,313039.6904761905,8.736433466294216
116,1,Racking,3107328,83653.14285714286,2.692124643975237
116,1,Bins,10631520,135708.2380952381,1.2764707031096034
116,1,Hazmat,2015360,32013.73809523809,1.5884873221279616
116,2,Pallet,3583152,313039.6904761905,8.736433466294216
116,2,Racking,3107328,83653.14285714286,2.692124643975237
116,2,Bins,10631520,135708.2380952381,1.2764707031096034
116,2,Hazmat,2015360,32013.73809523809,1.5884873221279616
116,3,Pallet,3583152,313039.6904761905,8.736433466294216
116,3,Racking,3107328,83653.14285714286,2.692124643975237
116,3,Bins,10631520,135708.2380952381,1.2764707031096034
116,3,Hazmat,2015360,32013.73809523809,1.5884873221279616
116,4,Pallet,3583152,313039.6904761905,8.736433466294216
116,4,Racking,3107328,83653.14285714286,2.692124643975237
116,4,Bins,10631520,135708.2380952381,1.2764707031096034
116,4,Hazmat,2015360,32013.73809523809,1.5884873221279616
116,5,Pallet,3583152,313039.6904761905,8.736433466294216
116,5,Racking,3107328,83653.14285714286,2.692124643975237
116,5,Bins,10631520,135708.2380952381,1.2764707031096034
116,5,Hazmat,2015360,32013.73809523809,1.5884873221279616
116,6,Pallet,3583152,313039.6904761905,8.736433466294216
116,6,Racking,3107328,83653.14285714286,2.692124643975237
116,6,Bins,10631520,135708.2380952381,1.2764707031096034
116,6,Hazmat,2015360,32013.73809523809,1.5884873221279616
116,7,Pallet,3583152,313039.6904761905,8.736433466294216
116,7,Racking,3107328,83653.14285714286,2.692124643975237
116,7,Bins,10631520,135708.2380952381,1.2764707031096034
116,7,Hazmat,2015360,32013.73809523809,1.5884873221279616
116,8,Pallet,3583152,313039.6904761905,8.736433466294216
116,8,Racking,3107328,83653.14285714286,2.692124643975237
116,8,Bins,10631520,135708.2380952381,1.2764707031096034
116,8,Hazmat,2015360,32013.73809523809,1.5884873221279616
116,9,Pallet,3583152,313039.6904761905,8.736433466294216
116,9,Racking,3107328,83653.14285714286,2.692124643975237
116,9,Bins,10631520,135708.2380952381,1.2764707031096034
116,9,Hazmat,2015360,32013.73809523809,1.5884873221279616
116,10,Pallet,3583152,313039.6904761905,8.736433466294216
116,10,Racking,3107328,83653.14285714286,2.692124643975237
116,10,Bins,10631520,135708.2380952381,1.2764707031096034
116,10,Hazmat,2015360,32013.73809523809,1.5884873221279616
116,11,Pallet,3583152,313039.6904761905,8.736433466294216
116,11,Racking,3107328,83653.14285714286,2.692124643975237
116,11,Bins,10631520,135708.2380952381,1.2764707031096034
116,11,Hazmat,2015360,32013.73809523809,1.5884873221279616
116,12,Pallet,3583152,313039.6904761905,8.736433466294216
116,12,Racking,3107328,83653.14285714286,2.692124643975237
116,12,Bins,10631520,135708.2380952381,1.2764707031096034
116,12,Hazmat,2015360,32013.73809523809,1.5884873221279616
116,13,Pallet,3583152,313039.6904761905,8.736433466294216
116,13,Racking,3107328,83653.14285714286,2.692124643975237
116,13,Bins,10631520,135708.2380952381,1.2764707031096034
116,13,Hazmat,2015360,32013.73809523809,1.5884873221279616
116,14,Pallet,3583152,313039.6904761905,8.736433466294216
116,14,Racking,3107328,83653.14285714286,2.692124643975237
116,14,Bins,10631520,135708.2380952381,1.2764707031096034
116,14,Hazmat,2015360,32013.73809523809,1.5884873221279616
116,15,Pallet,3583152,313039.6904761905,8.736433466294216
116,15,Racking,3107328,83653.14285714286,2.692124643975237
116,15,Bins,10631520,135708.2380952381,1.2764707031096034
116,15,Hazmat,2015360,32013.73809523809,1.5884873221279616
116,16,Pallet,3583152,313039.6904761905,8.736433466294216
116,16,Racking,3107328,83653.14285714286,2.692124643975237
116,16,Bins,10631520,135708.2380952381,1.2764707031096034
116,16,Hazmat,2015360,32013.73809523809,1.5884873221279616
116,17,Pallet,3583152,313039.6904761905,8.736433466294216
116,17,Racking,3107328,83653.14285714286,2.692124643975237
116,17,Bins,10631520,135708.2380952381,1.2764707031096034
116,17,Hazmat,2015360,32013.73809523809,1.5884873221279616
116,18,Pallet,3583152,313039.6904761905,8.736433466294216
116,18,Racking,3107328,83653.14285714286,2.692124643975237
116,18,Bins,10631520,135708.2380952381,1.2764707031096034
116,18,Hazmat,2015360,32013.73809523809,1.5884873221279616
116,19,Pallet,3583152,313039.6904761905,8.736433466294216
116,19,Racking,3107328,83653.14285714286,2.692124643975237
116,19,Bins,10631520,135708.2380952381,1.2764707031096034
116,19,Hazmat,2015360,32013.73809523809,1.5884873221279616
116,20,Pallet,3583152,313039.6904761905,8.736433466294216
116,20,Racking,3107328,83653.14285714286,2.692124643975237
116,20,Bins,10631520,135708.2380952381,1.2764707031096034
116,20,Hazmat,2015360,32013.73809523809,1.5884873221279616
116,21,Pallet,3583152,313039.6904761905,8.736433466294216
116,21,Racking,3107328,83653.14285714286,2.692124643975237
116,21,Bins,10631520,135708.2380952381,1.2764707031096034
116,21,Hazmat,2015360,32013.73809523809,1.5884873221279616
117,1,Pallet,3583152,247485.64285714287,6.906925602294931
117,1,Racking,3107328,64442.23809523809,2.0738794905216986
117,1,Bins,10631520,113702.02380952382,1.0694804111690879
117,1,Hazmat,2015360,26600.47619047619,1.319887076774184
117,2,Pallet,3583152,247485.64285714287,6.906925602294931
117,2,Racking,3107328,64442.23809523809,2.0738794905216986
117,2,Bins,10631520,113702.02380952382,1.0694804111690879
117,2,Hazmat,2015360,26600.47619047619,1.319887076774184
117,3,Pallet,3583152,247485.64285714287,6.906925602294931
117,3,Racking,3107328,64442.23809523809,2.0738794905216986
117,3,Bins,10631520,113702.02380952382,1.0694804111690879
117,3,Hazmat,2015360,26600.47619047619,1.319887076774184
117,4,Pallet,3583152,247485.64285714287,6.906925602294931
117,4,Racking,3107328,64442.23809523809,2.0738794905216986
117,4,Bins,10631520,113702.02380952382,1.0694804111690879
117,4,Hazmat,2015360,26600.47619047619,1.319887076774184
117,5,Pallet,3583152,247485.64285714287,6.906925602294931
117,5,Racking,3107328,64442.23809523809,2.0738794905216986
117,5,Bins,10631520,113702.02380952382,1.0694804111690879
117,5,Hazmat,2015360,26600.47619047619,1.319887076774184
117,6,Pallet,3583152,247485.64285714287,6.906925602294931
117,6,Racking,3107328,64442.23809523809,2.0738794905216986
117,6,Bins,10631520,113702.02380952382,1.0694804111690879
117,6,Hazmat,2015360,26600.47619047619,1.319887076774184
117,7,Pallet,3583152,247485.64285714287,6.906925602294931
117,7,Racking,3107328,64442.23809523809,2.0738794905216986
117,7,Bins,10631520,113702.02380952382,1.0694804111690879
117,7,Hazmat,2015360,26600.47619047619,1.319887076774184
117,8,Pallet,3583152,247485.64285714287,6.906925602294931
117,8,Racking,3107328,64442.23809523809,2.0738794905216986
117,8,Bins,10631520,113702.02380952382,1.0694804111690879
117,8,Hazmat,2015360,26600.47619047619,1.319887076774184
117,9,Pallet,3583152,247485.64285714287,6.906925602294931
117,9,Racking,3107328,64442.23809523809,2.0738794905216986
117,9,Bins,10631520,113702.02380952382,1.0694804111690879
117,9,Hazmat,2015360,26600.47619047619,1.319887076774184
117,10,Pallet,3583152,247485.64285714287,6.906925602294931
117,10,Racking,3107328,64442.23809523809,2.0738794905216986
117,10,Bins,10631520,113702.02380952382,1.0694804111690879
117,10,Hazmat,2015360,26600.47619047619,1.319887076774184
117,11,Pallet,3583152,247485.64285714287,6.906925602294931
