Month,Day,Facility,Supplier,Supplier_Type,Weight_lbs,Volume_cuft,Trucks_Needed,Weight_Utilization_Pct,Volume_Utilization_Pct,Binding_Constraint,Num_SKUs,SKUs_Delivered
1,15,Sacramento,Form & Function,Domestic,144945.7143,53683.59788,15,21.47343915,99.41407015,volume,1,SKUC1
1,15,Austin,The Write Stuff,International,48836.90476,975.2865961,2,54.26322751,13.54564717,weight,2,"SKUW1,SKUW2"
1,15,Austin,Canvas & Co.,Domestic,23878.19048,674.0526896,1,53.0626455,18.72368582,weight,2,"SKUA2,SKUA3"
1,15,Austin,Bound to Learn,Domestic,555560.7143,26411.44345,13,94.96764347,56.43470823,weight,2,"SKUT1,SKUT3"
1,15,Austin,Form & Function,Domestic,65105,119049.1429,34,4.255228758,97.26237162,volume,1,SKUD3
1,15,Austin,VoltEdge,International,954819.0476,117516.1905,33,64.29757896,98.91935225,volume,1,SKUE2
1,16,Columbus,The Write Stuff,International,48836.90476,975.2865961,2,54.26322751,13.54564717,weight,2,"SKUW1,SKUW2"
1,16,Columbus,Canvas & Co.,Domestic,15074.7619,376.8690476,1,33.4994709,10.46858466,weight,1,SKUA3
1,16,Columbus,VoltEdge,International,45105.71429,870.0947972,2,50.11746032,12.08464996,weight,1,SKUE1
1,16,Sacramento,The Write Stuff,International,32304.7619,598.2363316,1,71.78835979,16.61767588,weight,1,SKUW3
1,16,Sacramento,Canvas & Co.,Domestic,8803.428571,297.183642,1,19.5631746,8.255101166,weight,1,SKUA2
1,16,Sacramento,Bound to Learn,Domestic,27167.85714,792.3958333,1,60.37301587,22.01099537,weight,1,SKUT1
1,16,Sacramento,Form & Function,Domestic,204051.4286,58609.07407,17,26.67338936,95.76646091,volume,2,"SKUD1,SKUC1"
1,16,Sacramento,VoltEdge,International,954819.0476,117516.1905,33,64.29757896,98.91935225,volume,1,SKUE2
1,16,Austin,Canvas & Co.,Domestic,4760,43.04108796,1,10.57777778,1.195585777,weight,1,SKUA1
1,16,Austin,Bound to Learn,Domestic,1533632.143,73926.91964,35,97.37346939,58.67215845,weight,3,"SKUT2,SKUT3,SKUT4"
1,16,Austin,Form & Function,Domestic,552845.4762,331221.3333,93,13.2101667,98.93110315,volume,3,"SKUD2,SKUD3,SKUC2"
