t_month,t_day,sup,f,level,marginal,lower,upper,scale
14,8,Domestic,Columbus,0.0,-0.0,0.0,inf,1.0
14,8,Domestic,Sacramento,0.0,-0.0,0.0,inf,1.0
14,8,Domestic,Austin,0.0,-0.0,0.0,inf,1.0
14,8,International,Columbus,0.0,-0.0,0.0,inf,1.0
14,8,International,Sacramento,0.0,-0.0,0.0,inf,1.0
14,8,International,Austin,0.0,-0.0,0.0,inf,1.0
14,9,Domestic,Columbus,0.0,-0.0,0.0,inf,1.0
14,9,Domestic,Sacramento,0.0,-0.0,0.0,inf,1.0
14,9,Domestic,Austin,0.0,-0.0,0.0,inf,1.0
14,9,International,Columbus,0.0,-0.0,0.0,inf,1.0
14,9,International,Sacramento,0.0,-0.0,0.0,inf,1.0
14,9,International,Austin,0.0,-0.0,0.0,inf,1.0
14,10,Domestic,Columbus,0.0,-0.0,0.0,inf,1.0
14,10,Domestic,Sacramento,0.0,-0.0,0.0,inf,1.0
14,10,Domestic,Austin,0.0,-0.0,0.0,inf,1.0
14,10,International,Columbus,0.0,-0.0,0.0,inf,1.0
14,10,International,Sacramento,0.0,-0.0,0.0,inf,1.0
14,10,International,Austin,0.0,-0.0,0.0,inf,1.0
14,11,Domestic,Columbus,0.0,-0.0,0.0,inf,1.0
14,11,Domestic,Sacramento,0.0,-0.0,0.0,inf,1.0
14,11,Domestic,Austin,0.0,-0.0,0.0,inf,1.0
14,11,International,Columbus,0.0,-0.0,0.0,inf,1.0
14,11,International,Sacramento,0.0,-0.0,0.0,inf,1.0
14,11,International,Austin,0.0,-0.0,0.0,inf,1.0
14,12,Domestic,Columbus,0.0,-0.0,0.0,inf,1.0
14,12,Domestic,Sacramento,0.0,-0.0,0.0,inf,1.0
14,12,Domestic,Austin,0.0,-0.0,0.0,inf,1.0
14,12,International,Columbus,0.0,-0.0,0.0,inf,1.0
14,12,International,Sacramento,0.0,-0.0,0.0,inf,1.0
14,12,International,Austin,0.0,-0.0,0.0,inf,1.0
14,13,Domestic,Columbus,0.0,-0.0,0.0,inf,1.0
14,13,Domestic,Sacramento,0.0,-0.0,0.0,inf,1.0
14,13,Domestic,Austin,0.0,-0.0,0.0,inf,1.0
14,13,International,Columbus,0.0,-0.0,0.0,inf,1.0
14,13,International,Sacramento,0.0,-0.0,0.0,inf,1.0
14,13,International,Austin,0.0,-0.0,0.0,inf,1.0
14,14,Domestic,Columbus,0.0,-0.0,0.0,inf,1.0
14,14,Domestic,Sacramento,0.0,-0.0,0.0,inf,1.0
14,14,Domestic,Austin,0.0,-0.0,0.0,inf,1.0
14,14,International,Columbus,0.0,-0.0,0.0,inf,1.0
14,14,International,Sacramento,2077.563333333333,0.0,0.0,inf,1.0
14,14,International,Austin,0.0,-0.0,0.0,inf,1.0
14,15,Domestic,Columbus,0.0,-0.0,0.0,inf,1.0
14,15,Domestic,Sacramento,0.0,-0.0,0.0,inf,1.0
14,15,Domestic,Austin,0.0,-0.0,0.0,inf,1.0
14,15,International,Columbus,0.0,-0.0,0.0,inf,1.0
14,15,International,Sacramento,0.0,-0.0,0.0,inf,1.0
14,15,International,Austin,0.0,-0.0,0.0,inf,1.0
14,16,Domestic,Columbus,0.0,-0.0,0.0,inf,1.0
14,16,Domestic,Sacramento,0.0,-0.0,0.0,inf,1.0
14,16,Domestic,Austin,0.0,-0.0,0.0,inf,1.0
14,16,International,Columbus,0.0,-0.0,0.0,inf,1.0
14,16,International,Sacramento,0.0,-0.0,0.0,inf,1.0
14,16,International,Austin,0.0,-0.0,0.0,inf,1.0
14,17,Domestic,Columbus,0.0,-0.0,0.0,inf,1.0
14,17,Domestic,Sacramento,0.0,-0.0,0.0,inf,1.0
14,17,Domestic,Austin,0.0,-0.0,0.0,inf,1.0
